# time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  final_nse_mass  
1.36411687825028e+00  2.69867477645970e+33  3.61823862970777e+41  -1.90369744183386e+38  0.00000000000000e+00  1.14055057688493e+51  7.01519356908280e+49  1.07039864119410e+51  -1.31159190819282e+51  -2.07667857366578e+52  8.05229723488760e+48  4.59871762891104e+32  4.51868311628674e+32  4.03339042949744e+32  3.90502923575476e+32  2.43374811211850e+32  0.00000000000000e+00  0.00000000000000e+00  4.93492415479593e+32  1.61082666092241e+33  2.00416209688874e+33  2.19840295435808e+33  2.37258125805225e+33  2.47967523459867e+33  2.62733483318854e+33  2.68102256772974e+33  2.61110018605538e+08  6.31286185237839e+06  -1.71041331307889e+50  2.21847556221374e+33  
1.41978423379163e+00  2.69867005461021e+33  3.84489480415545e+41  -9.79476020859931e+37  0.00000000000000e+00  1.04908679542316e+51  6.44518879976662e+49  9.84634907425492e+50  -1.23475403984663e+51  -2.07521892429079e+52  8.08435190153584e+48  4.40665239588981e+32  4.36157407548169e+32  4.03868560717770e+32  4.23970653573506e+32  2.42478452239314e+32  0.00000000000000e+00  0.00000000000000e+00  2.06170585366860e+32  1.57163672124093e+33  1.91024182343481e+33  2.11549577938913e+33  2.33589785968197e+33  2.45953308198564e+33  2.61055604143132e+33  2.67748861133698e+33  1.52003476786684e+08  8.61313151807271e+06  -1.85667244423470e+50  2.15014670224567e+33  
1.59339574114876e+00  2.69874029077404e+33  4.24629732007909e+41  9.25378797248405e+37  0.00000000000000e+00  9.55246887363731e+50  7.89903156307908e+49  8.76256571732940e+50  -1.09810541144447e+51  -2.07953285096192e+52  7.88404199445126e+48  4.86307544889801e+32  4.78717005962778e+32  4.28074328191057e+32  4.74816868546025e+32  2.68099895953886e+32  0.00000000000000e+00  0.00000000000000e+00  1.54693703272132e+31  1.12205745578586e+33  1.55296094995211e+33  1.89069423544514e+33  2.22863896069917e+33  2.38572576652286e+33  2.58517291183271e+33  2.67179460649917e+33  1.14004657056363e+08  8.48203303492485e+06  -1.42858524080742e+50  2.01708731400481e+33  
1.34307477499743e+00  2.69863139320954e+33  3.47702531622806e+41  -1.66837355341852e+37  0.00000000000000e+00  1.11475476009116e+51  5.96435797573785e+49  1.05511118033378e+51  -1.32604318369408e+51  -2.07261228988332e+52  8.02742642271518e+48  4.03902929566943e+32  3.99809053785224e+32  3.64320816718097e+32  3.78124919269795e+32  2.08970534847282e+32  0.00000000000000e+00  0.00000000000000e+00  4.98850020320987e+32  1.70802925882100e+33  2.01404374175077e+33  2.19953141726919e+33  2.37942096997095e+33  2.49148117036779e+33  2.62431367286801e+33  2.68088521217978e+33  1.96371793875188e+08  7.52303227924739e+06  -2.11288423602923e+50  2.24063002892838e+33  
1.31853552802595e+00  2.69873144515190e+33  2.81066790499106e+41  -1.98988181857427e+37  0.00000000000000e+00  1.19378983547176e+51  4.30008117478080e+49  1.15078902372396e+51  -1.45787156810855e+51  -2.06737778352705e+52  7.61588340307677e+48  3.37605397084327e+32  3.34163866789184e+32  3.03796790499804e+32  3.00758466893971e+32  1.60845746900660e+32  0.00000000000000e+00  0.00000000000000e+00  7.86075178027444e+32  1.91573271290885e+33  2.14054456644497e+33  2.28284436462293e+33  2.43293891400561e+33  2.52023584563038e+33  2.63417937100077e+33  2.68282087220664e+33  2.58649005133763e+08  7.47245260232645e+06  -2.64081732636783e+50  2.36333028698333e+33  
1.33213757948991e+00  2.69867583062980e+33  3.23454772721841e+41  -9.28246218874644e+37  0.00000000000000e+00  1.14700457268334e+51  5.94231980822592e+49  1.08758137460108e+51  -1.36879377204384e+51  -2.07160526247025e+52  8.00336917229695e+48  3.91232695175624e+32  3.86423090586247e+32  3.43205806487309e+32  3.46961779046019e+32  1.89354090346018e+32  0.00000000000000e+00  0.00000000000000e+00  5.96332123551624e+32  1.73531520965187e+33  2.01417937815877e+33  2.19738147225563e+33  2.39122504366854e+33  2.49610577696192e+33  2.62571727504219e+33  2.68096717019365e+33  2.20764490045151e+08  6.34839543482272e+06  -2.21789199360505e+50  2.32117696243744e+33  
1.42280710520749e+00  2.69876551149164e+33  3.21978235449270e+41  3.03556034282033e+38  0.00000000000000e+00  1.10634716955220e+51  5.50566703166847e+49  1.05129049923552e+51  -1.34150391463770e+51  -2.07033485593026e+52  7.99055365639663e+48  3.68781545363839e+32  3.64511005841908e+32  3.35629852335922e+32  3.50840887361693e+32  1.82291899580471e+32  0.00000000000000e+00  0.00000000000000e+00  5.64109612763592e+32  1.73589795606075e+33  2.03578755909588e+33  2.20228207661999e+33  2.38603551728302e+33  2.49404123124878e+33  2.62323300419305e+33  2.68028130827542e+33  2.03098514520975e+08  7.17137438292900e+06  -2.35156745085493e+50  2.27346964322969e+33  
1.51381001462853e+00  2.69861701437083e+33  4.30483835916652e+41  -1.63668967092414e+38  0.00000000000000e+00  9.46755510980582e+50  8.27376912597118e+49  8.64017819720870e+50  -1.09373281422696e+51  -2.07906043619071e+52  8.34256817161800e+48  4.73185234171814e+32  4.65072216633019e+32  4.18669826176277e+32  4.59552870972277e+32  2.51680190146820e+32  0.00000000000000e+00  0.00000000000000e+00  6.05866767641428e+31  1.09074734226310e+33  1.54348129818424e+33  1.88932505197456e+33  2.21677292060627e+33  2.37900987075684e+33  2.58261438725700e+33  2.67162987503995e+33  1.17426127876911e+08  8.72957330923485e+06  -1.46977303246381e+50  2.03786897584594e+33  
1.75179277553972e+00  2.69879391036125e+33  4.56848019427947e+41  2.03372705991452e+38  0.00000000000000e+00  9.16352875077893e+50  8.68357941358864e+49  8.29517080942007e+50  -1.02951303627448e+51  -2.08255709868588e+52  8.04038574263179e+48  5.26460113427053e+32  5.14107614697697e+32  4.51923065213855e+32  5.16311239721983e+32  2.86543787219212e+32  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  8.83460640314749e+32  1.36316646448709e+33  1.74304727126294e+33  2.15942125035074e+33  2.34093885805659e+33  2.56969389463167e+33  2.66912966482188e+33  9.19806341345294e+07  8.96100946128485e+06  -1.13160161196589e+50  1.94805379912596e+33  
1.34237458876026e+00  2.69867878208692e+33  3.17045926290715e+41  -1.44505264271582e+38  0.00000000000000e+00  1.15957738132306e+51  5.09542198306565e+49  1.10862316149240e+51  -1.37775647595423e+51  -2.07192571745776e+52  7.66670775904535e+48  4.08042269404157e+32  3.97440736221150e+32  3.56232073767986e+32  3.35923551360535e+32  2.06242063462751e+32  0.00000000000000e+00  0.00000000000000e+00  5.50614080542004e+32  1.82890541233336e+33  2.07643591159332e+33  2.23154170716230e+33  2.39425515910621e+33  2.48776923108302e+33  2.62738646852542e+33  2.68162389843825e+33  2.12115900506243e+08  5.96744380727284e+06  -2.18179094631178e+50  2.36085981869756e+33  
