# time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  final_nse_mass  
1.52033281231577e+00  2.70931259403218e+33  5.28770706416700e+41  -4.56830773740234e+37  0.00000000000000e+00  1.15711280600385e+51  1.13868169517321e+50  1.04324463648653e+51  -1.19716739581507e+51  -2.12200294474370e+52  6.76269924802396e+48  7.60835150689122e+32  7.41219030334988e+32  6.40018224022657e+32  7.03148007237564e+32  4.76293667710689e+32  0.00000000000000e+00  0.00000000000000e+00  1.92613652601316e+32  1.40813623451436e+33  1.80898758517817e+33  2.07753145197110e+33  2.34118411964007e+33  2.46820852200958e+33  2.62734400334594e+33  2.69013106901228e+33  1.58071641481243e+08  6.88000199098089e+06  -4.00545898112194e+49  1.83471924501016e+33  
1.53076281328488e+00  2.70930605666802e+33  5.78133193220497e+41  -7.30642426232222e+37  0.00000000000000e+00  1.10997171440931e+51  1.26623588436233e+50  9.83348125973073e+50  -1.12537728106371e+51  -2.12447453919417e+52  7.02302416096202e+48  7.86606689282461e+32  7.66952109078112e+32  6.80089858730954e+32  7.56917643846222e+32  5.08673007046472e+32  0.00000000000000e+00  0.00000000000000e+00  1.12524378419696e+32  1.23516865778819e+33  1.68257520072142e+33  1.97540833705967e+33  2.28749846547840e+33  2.44504146833524e+33  2.61682463589331e+33  2.68738141851785e+33  1.33710095408591e+08  8.50669125101773e+06  -1.54055666544021e+49  1.69908230032156e+33  
1.53965877356981e+00  2.70930207574242e+33  5.74042634936775e+41  -4.51787303115065e+37  0.00000000000000e+00  1.09243123250125e+51  1.25465526091263e+50  9.66965706409985e+50  -1.10648639722100e+51  -2.12468191012160e+52  7.65110306467626e+48  7.91357654358225e+32  7.69205584607812e+32  6.63718708127081e+32  7.37622299859196e+32  4.83189012381711e+32  0.00000000000000e+00  0.00000000000000e+00  6.30518525025487e+31  1.18539444037007e+33  1.66096767011794e+33  1.96321919825428e+33  2.25315970825293e+33  2.42395211179423e+33  2.61079307759860e+33  2.68640765790593e+33  1.21078811044105e+08  6.36116825059384e+06  -1.40551647197483e+49  1.63259348323005e+33  
1.24327984302015e+00  2.70930467944693e+33  2.19276392687706e+41  -1.05103696147090e+38  0.00000000000000e+00  1.55649632024760e+51  2.96871508996877e+49  1.52680916934791e+51  -1.85308346074222e+51  -2.09623848345896e+52  6.34106762796681e+48  3.69392622849902e+32  3.66905850462754e+32  3.59397798823821e+32  3.01707649089947e+32  2.27889713801241e+32  0.00000000000000e+00  4.01989282510638e+32  1.48963186353790e+33  2.29701007831691e+33  2.42957552997069e+33  2.50011223539056e+33  2.57241551487753e+33  2.61678789390680e+33  2.67550576419111e+33  2.69999828181238e+33  5.41073394513522e+08  1.87403076947921e+06  -2.96587140494626e+50  2.53528458512418e+33  
1.28064839969632e+00  2.70929954172938e+33  2.53655362298329e+41  -2.31908511392272e+37  0.00000000000000e+00  1.51733973112890e+51  3.65455020443788e+49  1.48079422908452e+51  -1.78174892648948e+51  -2.09936844694870e+52  5.36175946667470e+48  4.18049223623286e+32  4.15516130373659e+32  4.03802066100367e+32  3.42625126354080e+32  2.84877437775563e+32  0.00000000000000e+00  3.11103196177897e+32  1.33754833552400e+33  2.23864615552793e+33  2.40033945832610e+33  2.47851609771433e+33  2.55905451457569e+33  2.60826413870640e+33  2.67289896277036e+33  2.69967385247432e+33  4.92896025080183e+08  2.22775085842196e+06  -2.64409195360585e+50  2.41990381060143e+33  
1.45667470004611e+00  2.70930042388688e+33  4.26008802692419e+41  2.27825326663191e+38  0.00000000000000e+00  1.28012525381427e+51  8.78124989827568e+49  1.19231275483151e+51  -1.39972596115677e+51  -2.11390130916583e+52  5.41678740167085e+48  6.41971241415574e+32  6.22819718274958e+32  5.29531220480624e+32  5.67917500309592e+32  3.98702933535184e+32  0.00000000000000e+00  0.00000000000000e+00  7.03610723575659e+32  1.71276678988682e+33  2.02419060101764e+33  2.22146235270910e+33  2.41421761800695e+33  2.52291518340783e+33  2.64977139684489e+33  2.69479845592329e+33  2.65080978958205e+08  5.13309660514800e+06  -1.19600707342503e+50  2.07386641404440e+33  
1.53075552428755e+00  2.70930826160362e+33  5.13281693984048e+41  9.24980494708380e+37  0.00000000000000e+00  1.18168482692799e+51  1.10191210154605e+50  1.07149361677338e+51  -1.23508338762790e+51  -2.12055845867816e+52  5.45214604784985e+48  7.55171072732553e+32  7.21700644634149e+32  6.25152074595953e+32  7.12085042716493e+32  4.85443064100797e+32  0.00000000000000e+00  0.00000000000000e+00  3.11670664917550e+32  1.44576478605615e+33  1.82279457389761e+33  2.04364319315546e+33  2.29663449517664e+33  2.45331922500905e+33  2.63111737623247e+33  2.69140203601451e+33  1.79509838795555e+08  4.74943938496577e+06  -5.33985606999151e+49  1.78056649422145e+33  
1.49247391368706e+00  2.70890893330992e+33  5.64347160926603e+41  5.40396743417126e+37  0.00000000000000e+00  1.14788005851406e+51  1.23090853278792e+50  1.02478920523527e+51  -1.16375678553376e+51  -2.12401285221160e+52  6.14560669800418e+48  7.93720339966644e+32  7.76899335923064e+32  6.90882711541863e+32  7.62580946897089e+32  5.33197384219158e+32  0.00000000000000e+00  0.00000000000000e+00  1.61574145243927e+32  1.29667904003993e+33  1.74053599635481e+33  2.03241574910806e+33  2.32334298152464e+33  2.46587634298283e+33  2.62360688359824e+33  2.68886846819181e+33  1.45472488894179e+08  7.59197510026348e+06  -1.58767270196981e+49  1.67402380953637e+33  
1.53897372056802e+00  2.70890225992983e+33  6.08198742178645e+41  5.84198800084209e+37  0.00000000000000e+00  1.10000323715938e+51  1.37137836854250e+50  9.62865400305131e+50  -1.07276127372054e+51  -2.12840231790176e+52  6.88532178574846e+48  8.61906766386873e+32  8.35720647348160e+32  7.07745963567226e+32  7.99724905700557e+32  5.36295526467029e+32  0.00000000000000e+00  0.00000000000000e+00  3.34426433175050e+31  1.02424651515401e+33  1.53549694574739e+33  1.88967409755595e+33  2.24243644926824e+33  2.40659822538533e+33  2.60541659976161e+33  2.68476965430734e+33  1.12499704749589e+08  8.34203948049355e+06  2.72419634388405e+49  1.56091587423673e+33  
1.46380493647445e+00  2.70889840321910e+33  5.45592066895289e+41  -1.88244915763504e+38  0.00000000000000e+00  1.16119208386574e+51  1.20646675925684e+50  1.04054540794005e+51  -1.17418390535749e+51  -2.12442575705211e+52  7.40016188415773e+48  8.09046238915273e+32  7.79048015239150e+32  6.66894382097362e+32  7.10032078292531e+32  4.90447775052617e+32  0.00000000000000e+00  0.00000000000000e+00  1.46068330147407e+32  1.37884536769611e+33  1.76458659826504e+33  2.04170782280612e+33  2.31848569376290e+33  2.45231076436951e+33  2.62626184849583e+33  2.68964534367029e+33  1.48319374358145e+08  5.55597511701289e+06  -1.29918214917559e+49  1.80951527078644e+33  
