----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
2  35e6  36e5  0.00000000000000e+00  2.70661193480770e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06920312383538e+51  0.00000000000000e+00  2.06920312383538e+51  -2.54096542276760e+51  -2.07579513699596e+52  0.00000000000000e+00  1.90747854833902e+31  1.90747854833902e+31  1.90747854833902e+31  1.90747854833902e+31  1.77239143898758e+31  1.89884580469726e+32  1.37269197460770e+33  2.09260968472097e+33  2.49014367671800e+33  2.56038539883623e+33  2.59779459551843e+33  2.63559189202747e+33  2.65870087851104e+33  2.68877369422608e+33  2.70207637492765e+33  1.39867344996650e+09  9.31788056892704e+08  
2  35e6  36e5  4.00023780535833e+00  2.70584996164121e+33  1.79077130321934e+42  -2.81849490641598e+38  0.00000000000000e+00  1.18056944551196e+51  1.12227020548929e+51  5.82992400226656e+49  -1.05183399310321e+50  -2.23127690098488e+52  4.10689252724139e+48  2.62285157442831e+33  2.41442714396528e+33  2.11195438421201e+33  7.23842222233747e+32  1.88608704477989e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.20426403428971e+04  2.26020056144516e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
12  35e6  36e5  0.00000000000000e+00  2.70663987119501e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06922431306179e+51  0.00000000000000e+00  2.06922431306179e+51  -2.54103494760259e+51  -2.07581327166211e+52  0.00000000000000e+00  1.89607627741086e+31  1.89607627741086e+31  1.89607627741086e+31  1.89607627741086e+31  1.76169162329820e+31  1.90202423806174e+32  1.37299753728107e+33  2.09263762110827e+33  2.49017161310530e+33  2.56041333522353e+33  2.59782253190573e+33  2.63561982841477e+33  2.65872881489834e+33  2.68880163061338e+33  2.70210431131496e+33  1.39867344996650e+09  8.89242379707406e+08  
12  35e6  36e5  4.00039189103599e+00  2.70580636342583e+33  1.72035051344610e+42  9.46861624944419e+37  0.00000000000000e+00  1.12302305244964e+51  1.05951673368496e+51  6.35063187646757e+49  -1.05678265249507e+50  -2.22567662873329e+52  5.57407113235524e+48  2.63821428305150e+33  2.36747909526994e+33  1.86158245962328e+33  1.09206183696820e+33  1.62507828937034e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.83827160455478e+04  7.52624005534330e+02  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
4  35e6  36e5  0.00000000000000e+00  2.70662517709957e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06919981040426e+51  0.00000000000000e+00  2.06919981040426e+51  -2.54099844083656e+51  -2.07580273790312e+52  0.00000000000000e+00  1.89854267767438e+31  1.89854267767438e+31  1.89854267767438e+31  1.89854267767438e+31  1.76412995321925e+31  1.90190694391414e+32  1.37243323898084e+33  2.09262292701283e+33  2.49015691900986e+33  2.56039864112809e+33  2.59780783781029e+33  2.63560513431934e+33  2.65871412080290e+33  2.68878693651794e+33  2.70208961721952e+33  1.39867344996650e+09  9.21320254587411e+08  
4  35e6  36e5  4.00069156778644e+00  2.70599329459511e+33  1.77473923382982e+42  -1.64958210680066e+38  0.00000000000000e+00  1.18450910557008e+51  1.13016332859956e+51  5.43457769705218e+49  -1.01395565494579e+50  -2.23202326931739e+52  4.13976289211658e+48  2.63339745708628e+33  2.43065005745880e+33  2.11340330976647e+33  8.39274443604487e+32  1.88507706407529e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  8.87195343744323e+04  1.07575552868182e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
16  35e6  36e5  0.00000000000000e+00  2.70663637824863e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06921688078340e+51  0.00000000000000e+00  2.06921688078340e+51  -2.54102611033357e+51  -2.07581058462540e+52  0.00000000000000e+00  1.89602307684860e+31  1.89602307684860e+31  1.89602307684860e+31  1.89602307684860e+31  1.76162429270986e+31  1.89989335765974e+32  1.37272206641598e+33  2.09263412816189e+33  2.49016812015892e+33  2.56040984227716e+33  2.59781903895935e+33  2.63561633546840e+33  2.65872532195197e+33  2.68879813766701e+33  2.70210081836858e+33  1.39867344996650e+09  8.80217730979678e+08  
16  35e6  36e5  4.00034194929345e+00  2.70622564526886e+33  1.62864831969602e+42  -2.45680778810304e+38  0.00000000000000e+00  1.04614759053218e+51  9.75732103162584e+50  7.04154873696019e+49  -1.11698963033252e+50  -2.21763476011969e+52  6.35130940669913e+48  2.58603208370188e+33  2.24594729802083e+33  1.64762464350806e+33  1.02259664240463e+33  1.41312243640940e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  1.01204634665365e+05  1.49405067737130e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
6  35e6  36e5  0.00000000000000e+00  2.70662578262062e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06919445645749e+51  0.00000000000000e+00  2.06919445645749e+51  -2.54099959592903e+51  -2.07580263859373e+52  0.00000000000000e+00  1.89662674898098e+31  1.89662674898098e+31  1.89662674898098e+31  1.89662674898098e+31  1.76231227599131e+31  1.90011785181893e+32  1.37216186658317e+33  2.09262353253388e+33  2.49015752453091e+33  2.56039924664914e+33  2.59780844333134e+33  2.63560573984039e+33  2.65871472632395e+33  2.68878754203899e+33  2.70209022274057e+33  1.39867344996650e+09  9.10594929664891e+08  
6  35e6  36e5  4.00050157585855e+00  2.70618844704302e+33  1.72528515101073e+42  -3.00055330196324e+38  0.00000000000000e+00  1.09284494688958e+51  1.02585348566974e+51  6.69914612198405e+49  -1.08609436133452e+50  -2.22259266517551e+52  3.90024769088710e+48  2.57251317437101e+33  2.30675448112620e+33  1.86760299809464e+33  1.02947686996654e+33  1.66097950133467e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  9.54596993424464e+04  2.38069822177475e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
8  35e6  36e5  0.00000000000000e+00  2.70663646266750e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06921731503007e+51  0.00000000000000e+00  2.06921731503007e+51  -2.54102563129784e+51  -2.07581075096447e+52  0.00000000000000e+00  1.89630174437955e+31  1.89630174437955e+31  1.89630174437955e+31  1.89630174437955e+31  1.76196109692744e+31  1.90073486905955e+32  1.37285531561053e+33  2.09263421258076e+33  2.49016820457779e+33  2.56040992669603e+33  2.59781912337822e+33  2.63561641988727e+33  2.65872540637084e+33  2.68879822208588e+33  2.70210090278745e+33  1.39867344996650e+09  9.03978342532136e+08  
8  35e6  36e5  4.00031354035158e+00  2.70531385969727e+33  1.77588007362743e+42  -7.90264100513132e+38  0.00000000000000e+00  1.16377045442745e+51  1.10323335727169e+51  6.05370971557631e+49  -1.02812521165621e+50  -2.22991615669090e+52  4.63344934852114e+48  2.65528312690086e+33  2.43610365150210e+33  1.99225175805772e+33  1.05330017754563e+33  1.76319384018111e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.15199216035238e+04  3.76933441423605e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
20  35e6  36e5  0.00000000000000e+00  2.70663088286996e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06920606689330e+51  0.00000000000000e+00  2.06920606689330e+51  -2.54101060810543e+51  -2.07580646956058e+52  0.00000000000000e+00  1.89630975482684e+31  1.89630975482684e+31  1.89630975482684e+31  1.89630975482684e+31  1.76188420003300e+31  1.90037977903810e+32  1.37230577997555e+33  2.09262863278322e+33  2.49016262478025e+33  2.56040434689849e+33  2.59781354358068e+33  2.63561084008973e+33  2.65871982657330e+33  2.68879264228834e+33  2.70209532298991e+33  1.39867344996650e+09  8.72573385425144e+08  
20  35e6  36e5  4.00102379038078e+00  2.70622616996116e+33  1.74660618114437e+42  -2.58037721705714e+38  0.00000000000000e+00  1.15464715403559e+51  1.09186890861793e+51  6.27782454176537e+49  -1.02751223072143e+50  -2.22933428551363e+52  6.59904523856630e+48  2.64292069194471e+33  2.40751540518641e+33  1.97625901522766e+33  1.00750810213894e+33  1.71521988890447e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  9.14428001862168e+04  3.73692134371916e+02  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
4  35e6  48e5  0.00000000000000e+00  2.70540281290437e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06912594579853e+51  0.00000000000000e+00  2.06912594579853e+51  -2.53792043879344e+51  -2.07506678622698e+52  0.00000000000000e+00  2.48413323164900e+31  2.48413323164900e+31  2.48413323164900e+31  2.48413323164900e+31  2.30818834527597e+31  1.87373233391956e+32  1.37121087478564e+33  2.09140056281763e+33  2.48893455481466e+33  2.55917627693289e+33  2.59658547361509e+33  2.63438277012413e+33  2.65749175660770e+33  2.68756457232274e+33  2.70086725302432e+33  1.39867344996650e+09  9.06500698157956e+08  
4  35e6  48e5  4.00029553631771e+00  2.70511893622134e+33  1.67285967681824e+42  -1.68979750632242e+38  0.00000000000000e+00  1.09375114495604e+51  1.03238944291057e+51  6.13617020454681e+49  -1.07390086677771e+50  -2.22169091664916e+52  3.85424575619243e+48  2.54259753212734e+33  2.25189906356077e+33  1.97319715581247e+33  8.35142590412063e+32  1.76041086618003e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  1.36943760061844e+05  1.76376237264713e+02  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
20  35e6  48e5  0.00000000000000e+00  2.70541094041084e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06913997609025e+51  0.00000000000000e+00  2.06913997609025e+51  -2.53793984093370e+51  -2.07507235571327e+52  0.00000000000000e+00  2.48209545311999e+31  2.48209545311999e+31  2.48209545311999e+31  2.48209545311999e+31  2.30596633238775e+31  1.87519756354033e+32  1.37135781543515e+33  2.09140869032410e+33  2.48894268232113e+33  2.55918440443937e+33  2.59659360112156e+33  2.63439089763061e+33  2.65749988411418e+33  2.68757269982922e+33  2.70087538053079e+33  1.39867344996650e+09  8.38595307288113e+08  
20  35e6  48e5  4.00016973748739e+00  2.70464341009137e+33  1.63163234404932e+42  7.79594818804460e+37  0.00000000000000e+00  1.04104715436846e+51  9.69363358666617e+50  7.16837957018471e+49  -1.08820741476020e+50  -2.21641253148298e+52  6.39218096821526e+48  2.56534826616563e+33  2.24142669019597e+33  1.69987201413221e+33  1.01444665686149e+33  1.46215431153037e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  8.22082807221394e+04  1.79256300221300e+02  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
12  35e6  48e5  0.00000000000000e+00  2.70541704819032e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06915037476833e+51  0.00000000000000e+00  2.06915037476833e+51  -2.53795638289174e+51  -2.07507685828895e+52  0.00000000000000e+00  2.48166449955041e+31  2.48166449955041e+31  2.48166449955041e+31  2.48166449955041e+31  2.30558583954852e+31  1.87382784340923e+32  1.37177471427639e+33  2.09141479810358e+33  2.48894879010061e+33  2.55919051221885e+33  2.59659970890104e+33  2.63439700541009e+33  2.65750599189366e+33  2.68757880760870e+33  2.70088148831027e+33  1.39867344996650e+09  8.65339791945487e+08  
12  35e6  48e5  4.00079239243153e+00  2.70486222344223e+33  1.73340040440775e+42  -3.46908233034405e+38  0.00000000000000e+00  1.14691749556144e+51  1.08313025896887e+51  6.37872365925649e+49  -1.03862320565744e+50  -2.22729586191074e+52  5.52737075791489e+48  2.65073795298494e+33  2.40184808848773e+33  1.92891055951409e+33  1.04970670204895e+33  1.68891555666201e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.54118947658471e+04  5.30649269692430e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
16  35e6  48e5  0.00000000000000e+00  2.70541424609191e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06914345618939e+51  0.00000000000000e+00  2.06914345618939e+51  -2.53794884552569e+51  -2.07507461016961e+52  0.00000000000000e+00  2.48128869708408e+31  2.48128869708408e+31  2.48128869708408e+31  2.48128869708408e+31  2.30522364924468e+31  1.87447051719099e+32  1.37149993425926e+33  2.09141199600517e+33  2.48894598800220e+33  2.55918771012044e+33  2.59659690680263e+33  2.63439420331168e+33  2.65750318979525e+33  2.68757600551029e+33  2.70087868621186e+33  1.39867344996650e+09  8.51721851389791e+08  
16  35e6  48e5  1.97564706172218e+00  2.70541425068740e+33  1.59475750265167e+42  1.69214725755806e+37  0.00000000000000e+00  1.49313065232170e+51  8.96938465776679e+50  5.96192186545023e+50  -4.25163208913302e+50  -2.22994916831671e+52  6.19134339816591e+48  2.65572115566141e+33  2.42637498020584e+33  1.99223508280867e+33  1.00468722415414e+33  1.73722137773537e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  6.86328444562140e+32  1.69496521039533e+33  6.84279241042578e+06  1.38623820135642e+05  
----------
