#  radius  density  temperature  c12  o16  ne20  ne22  
596
2.000000000000000e+05 1.398894579206377e+09 1.971756594012764e+08 5.816975240850287e-02 4.438970671781852e-01 4.251705420942565e-01 7.276263831905549e-02 
6.000000000000000e+05 1.398771028075948e+09 1.971670195258160e+08 5.816975240850301e-02 4.438975312434327e-01 4.251709865821513e-01 7.276172976591277e-02 
1.000000000000000e+06 1.398473486894641e+09 1.971462033064651e+08 5.816975240850356e-02 4.438986968530810e-01 4.251721030186468e-01 7.275944771976861e-02 
1.400000000000000e+06 1.398183977462934e+09 1.971259422217377e+08 5.816975240850474e-02 4.438998588705802e-01 4.251732160145442e-01 7.275717270637093e-02 
1.800000000000000e+06 1.397676837068355e+09 1.970904484181894e+08 5.816975240850650e-02 4.439020032232758e-01 4.251752699042013e-01 7.275297446401637e-02 
2.200000000000000e+06 1.397049154595848e+09 1.970465111751843e+08 5.816975240850773e-02 4.439048144900286e-01 4.251779625730632e-01 7.274747052840048e-02 
2.600000000000000e+06 1.396310081688509e+09 1.969947840420466e+08 5.816975240851054e-02 4.439083383871992e-01 4.251813378088578e-01 7.274057139543248e-02 
3.000000000000000e+06 1.395421989120409e+09 1.969326516693764e+08 5.816975240851355e-02 4.439127862210717e-01 4.251855980035483e-01 7.273186336686642e-02 
3.400000000000000e+06 1.394439843956071e+09 1.968639746118202e+08 5.816975240851890e-02 4.439180448297836e-01 4.251906347692540e-01 7.272156799244350e-02 
3.800000000000000e+06 1.393333541254694e+09 1.967865702148447e+08 5.816975240852460e-02 4.439243220028560e-01 4.251966471294936e-01 7.270927845912574e-02 
4.200000000000000e+06 1.392105474229863e+09 1.967005997529350e+08 5.816975240853210e-02 4.439316147276303e-01 4.252036321987360e-01 7.269500066510143e-02 
4.600000000000000e+06 1.390756683441542e+09 1.966062730689060e+08 5.816975240853862e-02 4.439400319079943e-01 4.252116942865001e-01 7.267852139696701e-02 
5.000000000000000e+06 1.389281803069408e+09 1.965033246359073e+08 5.816975240855161e-02 4.439497949215934e-01 4.252210454314037e-01 7.265940723845137e-02 
5.400000000000000e+06 1.387675106641091e+09 1.963912147711725e+08 5.816975240856279e-02 4.439610304953249e-01 4.252318070140726e-01 7.263741008203968e-02 
5.800000000000000e+06 1.385933201565501e+09 1.962694868837198e+08 5.816975240857682e-02 4.439737666678708e-01 4.252440058903058e-01 7.261247503324651e-02 
6.200000000000000e+06 1.384063800867081e+09 1.961387939998089e+08 5.816975240859607e-02 4.439880474435677e-01 4.252576842080673e-01 7.258451593976908e-02 
6.600000000000000e+06 1.382099397327191e+09 1.960017301609450e+08 5.816975240861317e-02 4.440041374872528e-01 4.252730954668964e-01 7.255301463723764e-02 
7.000000000000000e+06 1.380027369294770e+09 1.958572877252681e+08 5.816975240863039e-02 4.440219339912562e-01 4.252901411962208e-01 7.251817240389259e-02 
7.400000000000000e+06 1.377824974755225e+09 1.957038301378164e+08 5.816975240865547e-02 4.440420474682654e-01 4.253094061532486e-01 7.247879396983052e-02 
7.800000000000000e+06 1.375492670420809e+09 1.955413902643754e+08 5.816975240867944e-02 4.440644656577740e-01 4.253308785946983e-01 7.243490333884825e-02 
8.200000000000000e+06 1.373034779522912e+09 1.953702792122134e+08 5.816975240870483e-02 4.440890725020067e-01 4.253544473588846e-01 7.238672773040394e-02 
8.600000000000000e+06 1.370476679329118e+09 1.951919934842920e+08 5.816975240873641e-02 4.441167202575770e-01 4.253809287485811e-01 7.233259858510549e-02 
9.000000000000000e+06 1.367810699492690e+09 1.950060807586015e+08 5.816975240876913e-02 4.441471513276590e-01 4.254100760341108e-01 7.227302022946115e-02 
9.400000000000000e+06 1.365034340951194e+09 1.948123936648899e+08 5.816975240880434e-02 4.441802817850701e-01 4.254418088288936e-01 7.220815697723185e-02 
9.800000000000000e+06 1.362166141196826e+09 1.946125601545374e+08 5.816975240884754e-02 4.442167058659972e-01 4.254766963003088e-01 7.213684542484645e-02 
1.020000000000000e+07 1.359217110340209e+09 1.944075471288379e+08 5.816975240888705e-02 4.442567765096088e-01 4.255150764981491e-01 7.205839458335504e-02 
1.060000000000000e+07 1.356175443594232e+09 1.941963178984975e+08 5.816975240892784e-02 4.443001153026796e-01 4.255565869731994e-01 7.197354531519311e-02 
1.100000000000000e+07 1.352971216178463e+09 1.939749223120340e+08 5.816975240898010e-02 4.443490704640419e-01 4.256034768808531e-01 7.187770024612497e-02 
1.140000000000000e+07 1.349629532759716e+09 1.937447785681942e+08 5.816975240903074e-02 4.444027989270288e-01 4.256549387206218e-01 7.177250994331878e-02 
1.180000000000000e+07 1.346186359564407e+09 1.935086820539612e+08 5.816975240908116e-02 4.444618159805408e-01 4.257114660429713e-01 7.165696556740689e-02 
1.220000000000000e+07 1.342652948030610e+09 1.932675286962087e+08 5.816975240914318e-02 4.445263311965664e-01 4.257732595789269e-01 7.153065681536337e-02 
1.260000000000000e+07 1.339017593825393e+09 1.930207847335733e+08 5.816975240921071e-02 4.445979245212606e-01 4.258418326219763e-01 7.139049044755245e-02 
1.300000000000000e+07 1.335255204512399e+09 1.927770766855082e+08 5.816975240942122e-02 4.447240972468386e-01 4.259626825443772e-01 7.114346779936301e-02 
1.340000000000000e+07 1.331377303242154e+09 1.925324430123096e+08 5.816975240971381e-02 4.448830354475690e-01 4.261149156766559e-01 7.083229646606119e-02 
1.380000000000000e+07 1.327388792597286e+09 1.922872270602826e+08 5.816975241006551e-02 4.450711119159270e-01 4.262950578310006e-01 7.046407784300712e-02 
1.420000000000000e+07 1.323327194329430e+09 1.920440566187295e+08 5.816975241027165e-02 4.452605659389914e-01 4.264765194256758e-01 7.009316222506123e-02 
1.460000000000000e+07 1.319172669273014e+09 1.918015422763121e+08 5.816975241043994e-02 4.454660756528634e-01 4.266733593755392e-01 6.969081256115732e-02 
1.500000000000000e+07 1.314919840065811e+09 1.915585400725482e+08 5.816975241059655e-02 4.456922419018625e-01 4.268899844306501e-01 6.924802125689092e-02 
1.540000000000000e+07 1.310557071964171e+09 1.913125748741288e+08 5.816975241076910e-02 4.459490193153036e-01 4.271359292682309e-01 6.874529900569644e-02 
1.580000000000000e+07 1.306091297662659e+09 1.910652269872792e+08 5.816975241096041e-02 4.462308311701746e-01 4.274058524282279e-01 6.819356399063715e-02 
1.620000000000000e+07 1.301518900889687e+09 1.908197113653835e+08 5.816975241112229e-02 4.465541767557893e-01 4.277155571505433e-01 6.756051368254518e-02 
1.660000000000000e+07 1.296841339928069e+09 1.905747315597768e+08 5.816975241126906e-02 4.469124026376431e-01 4.280586706866965e-01 6.685917426439145e-02 
1.700000000000000e+07 1.292065418548609e+09 1.903219664843275e+08 5.816975241143914e-02 4.473238402141529e-01 4.284527510947383e-01 6.605365627966948e-02 
1.740000000000000e+07 1.287189373375048e+09 1.900635727690583e+08 5.816975241161350e-02 4.477837384178069e-01 4.288932477393371e-01 6.515326143124250e-02 
1.780000000000000e+07 1.282200604232464e+09 1.898071599749366e+08 5.816975241176423e-02 4.483107647784850e-01 4.293980406294438e-01 6.412144218030699e-02 
1.820000000000000e+07 1.277100779385245e+09 1.895517442286249e+08 5.816975241193414e-02 4.489022883103147e-01 4.299646097718591e-01 6.296334950589204e-02 
1.860000000000000e+07 1.271909751876846e+09 1.893040341650029e+08 5.816975241211562e-02 4.495640384404929e-01 4.305984428885916e-01 6.166776625879988e-02 
1.900000000000000e+07 1.266656445572003e+09 1.890754091924512e+08 5.816975241225734e-02 4.503075914529615e-01 4.313106278989009e-01 6.021202823588030e-02 
1.940000000000000e+07 1.261318054751748e+09 1.888598788279818e+08 5.816975241243134e-02 4.511284343926505e-01 4.320968422343319e-01 5.860497096058633e-02 
1.980000000000000e+07 1.255852826046757e+09 1.886616787644059e+08 5.816975241255173e-02 4.520418327274024e-01 4.329717073636719e-01 5.681670749637389e-02 
2.020000000000000e+07 1.250274698735375e+09 1.884721327490552e+08 5.816975241278374e-02 4.530939894176552e-01 4.339794770999226e-01 5.475678106963847e-02 
2.060000000000000e+07 1.244578263969280e+09 1.882815689381835e+08 5.816975241319571e-02 4.543590789482457e-01 4.351911967559627e-01 5.227997188259581e-02 
2.100000000000000e+07 1.238815756533198e+09 1.881185730360245e+08 5.816975241340715e-02 4.556007654001272e-01 4.363805006304721e-01 4.984898155599339e-02 
2.140000000000000e+07 1.232983094710624e+09 1.879556744404311e+08 5.816975241354688e-02 4.568415043447822e-01 4.375688969690704e-01 4.741984627260060e-02 
2.180000000000000e+07 1.227077196142695e+09 1.877404067943166e+08 5.816975241375259e-02 4.581069997182605e-01 4.387810053472366e-01 4.494224252075030e-02 
2.220000000000000e+07 1.221012059774742e+09 1.873118966503476e+08 5.816975241648720e-02 4.598325860148139e-01 4.404337949585596e-01 4.156386661013932e-02 
2.260000000000000e+07 1.214959231124960e+09 1.868435380780395e+08 5.816975241784608e-02 4.611954214948980e-01 4.417391369907465e-01 3.889568909650937e-02 
2.300000000000000e+07 1.208916667443542e+09 1.863881312929089e+08 5.816975241850875e-02 4.621751070488155e-01 4.426774929046273e-01 3.697764762804837e-02 
2.340000000000000e+07 1.202808998599634e+09 1.859260104741648e+08 5.816975242100489e-02 4.631185204834824e-01 4.435811068975088e-01 3.513062019800380e-02 
2.380000000000000e+07 1.196704291891258e+09 1.854589165946384e+08 5.816975242776076e-02 4.638472407290204e-01 4.442790848849795e-01 3.370392195823942e-02 
2.420000000000000e+07 1.190606725205598e+09 1.849864481812597e+08 5.816975243510952e-02 4.643078582725735e-01 4.447202705224926e-01 3.280211876982436e-02 
2.460000000000000e+07 1.184523506099878e+09 1.845081975869261e+08 5.816975243921416e-02 4.644299548084188e-01 4.448372162156282e-01 3.256307653673896e-02 
2.500000000000000e+07 1.178368606537274e+09 1.840226123970926e+08 5.816975244364261e-02 4.644870162252409e-01 4.448918704029594e-01 3.245136092815717e-02 
2.540000000000000e+07 1.172150819872270e+09 1.835305292939358e+08 5.816975245073332e-02 4.645065767252224e-01 4.449106057107350e-01 3.241306511330923e-02 
2.580000000000000e+07 1.165890011632381e+09 1.830527690398380e+08 5.817176824613294e-02 4.645052826907732e-01 4.449161751156434e-01 3.240677394745056e-02 
2.620000000000000e+07 1.159595371299115e+09 1.825992444892669e+08 5.817675685189591e-02 4.644944367825968e-01 4.449226370531425e-01 3.240616931236477e-02 
2.660000000000000e+07 1.153257673799713e+09 1.825084451383047e+08 5.818100457931172e-02 4.644818212063315e-01 4.449249022399600e-01 3.241227197439693e-02 
2.700000000000000e+07 1.141888613477675e+09 1.834180250315228e+08 5.818236491610135e-02 4.644786967474583e-01 4.449265014054592e-01 3.241243693098098e-02 
2.740000000000000e+07 1.140412605327001e+09 1.835014760781708e+08 5.818258641928020e-02 4.644782134866070e-01 4.449267870680101e-01 3.241241302610259e-02 
2.780000000000000e+07 1.134512323897515e+09 1.841338608494954e+08 5.818346314061777e-02 4.644763006774029e-01 4.449279186878836e-01 3.241231749409584e-02 
2.820000000000000e+07 1.127461098450204e+09 1.899434608452463e+08 5.818453083683267e-02 4.644739732905628e-01 4.449292964172758e-01 3.241219945532885e-02 
2.860000000000000e+07 1.120778950975500e+09 1.982608438957033e+08 5.818554378725536e-02 4.644717675096397e-01 4.449306063582619e-01 3.241208234484310e-02 
2.900000000000000e+07 1.114035466023355e+09 2.084961722132401e+08 5.818656798502530e-02 4.644695393592587e-01 4.449319365161070e-01 3.241195613960912e-02 
2.940000000000000e+07 1.107675153738481e+09 2.159995015850371e+08 5.818754318646902e-02 4.644674194701755e-01 4.449332075276934e-01 3.241182981566187e-02 
2.980000000000000e+07 1.100559761733497e+09 2.209686706170923e+08 5.818864622964665e-02 4.644650247846249e-01 4.449346503587356e-01 3.241167862699294e-02 
3.020000000000000e+07 1.093730616247851e+09 2.255089593584163e+08 5.818971198307584e-02 4.644627154138026e-01 4.449360522326277e-01 3.241152037049385e-02 
3.060000000000000e+07 1.087131279537845e+09 2.278182455564457e+08 5.819077973672112e-02 4.644604553597777e-01 4.449374119911430e-01 3.241135291235826e-02 
3.100000000000000e+07 1.080590365972622e+09 2.330353706775831e+08 5.888216279588559e-02 4.644211741395732e-01 4.443231334357537e-01 3.237352962878749e-02 
3.140000000000000e+07 1.072709964873948e+09 2.354774011043220e+08 8.316563810268744e-02 4.628988481140023e-01 4.228964718163340e-01 3.103904196697608e-02 
3.180000000000000e+07 1.065427287199168e+09 2.413584330952402e+08 1.209690201434868e-01 4.599124454068145e-01 3.903664761978388e-01 2.875205825186001e-02 
3.220000000000000e+07 1.058070492734905e+09 2.529622419833854e+08 1.438521279391564e-01 4.569953683634471e-01 3.716221968745618e-01 2.753030682283470e-02 
3.260000000000000e+07 1.050974101530384e+09 2.679377878498433e+08 1.503306929752372e-01 4.544482048503889e-01 3.680125436938612e-01 2.720855848051280e-02 
3.300000000000000e+07 1.043873967674439e+09 2.838182625548397e+08 1.461275465135001e-01 4.521571583514534e-01 3.743455160992693e-01 2.736977903577727e-02 
3.340000000000000e+07 1.036797381696572e+09 3.096756560810061e+08 1.388128310592968e-01 4.503206461017447e-01 3.832190527454686e-01 2.764747009348990e-02 
3.380000000000000e+07 1.028665243484565e+09 4.159581636982073e+08 1.322088872912806e-01 4.493661004736542e-01 3.905568642318824e-01 2.786814800318299e-02 
3.420000000000000e+07 1.008992749304200e+09 1.412412582617549e+09 1.298765451661432e-01 4.491555238538498e-01 3.930293931633170e-01 2.793853781669002e-02 
3.460000000000000e+07 9.990271027952977e+08 1.392933960697998e+09 1.302075886617646e-01 4.491676795022543e-01 3.926947717173770e-01 2.792996011860403e-02 
3.500000000000000e+07 9.962385980571405e+08 1.385930701754573e+09 1.304441167187822e-01 4.491838393270897e-01 3.924488459919065e-01 2.792319796222165e-02 
3.540000000000000e+07 9.894472623380171e+08 1.367936160510571e+09 1.310953925392853e-01 4.492327008727054e-01 3.917677071469805e-01 2.790419944102887e-02 
3.580000000000000e+07 9.824920100159073e+08 1.348435634672729e+09 1.318520703476053e-01 4.492983093747760e-01 3.909681862474191e-01 2.788143403019966e-02 
3.620000000000000e+07 9.758570902390145e+08 1.329492486955566e+09 1.326092677973207e-01 4.493725207663538e-01 3.901601270482481e-01 2.785808438807751e-02 
3.660000000000000e+07 9.691498098437465e+08 1.310604447808208e+09 1.333781791160414e-01 4.494564100492418e-01 3.893315562693937e-01 2.783385456532320e-02 
3.700000000000000e+07 9.624888433857087e+08 1.292276992660181e+09 1.341271273649261e-01 4.495460956754799e-01 3.885169886859152e-01 2.780978827367872e-02 
3.740000000000000e+07 9.558788967898092e+08 1.274618772965621e+09 1.348469851262238e-01 4.496394266494566e-01 3.877273379558322e-01 2.778625026848746e-02 
3.780000000000000e+07 9.483162203717539e+08 1.255311517880831e+09 1.356302210272912e-01 4.497494361481041e-01 3.868601772221463e-01 2.776016560245858e-02 
3.820000000000000e+07 9.419303950360112e+08 1.239720189307016e+09 1.362585135793523e-01 4.498436179888045e-01 3.861589545324490e-01 2.773891389939429e-02 
3.860000000000000e+07 9.349335460234495e+08 1.223358637858298e+09 1.369112193914891e-01 4.499471215788260e-01 3.854251302036498e-01 2.771652882603513e-02 
3.900000000000000e+07 9.280964212493120e+08 1.208145959834438e+09 1.375117466964049e-01 4.500476986181325e-01 3.847449073791014e-01 2.769564730636124e-02 
3.940000000000000e+07 9.197815202248974e+08 1.190552420127076e+09 1.381964844333261e-01 4.501683328785235e-01 3.839636594543939e-01 2.767152323375656e-02 
3.980000000000000e+07 9.145770624172306e+08 1.180004902846286e+09 1.386017753298626e-01 4.502426787003918e-01 3.834984546996812e-01 2.765709127006443e-02 
4.020000000000000e+07 9.060316743343199e+08 1.163514354869751e+09 1.392252303799366e-01 4.503618985823671e-01 3.827782290885119e-01 2.763464194918444e-02 
4.060000000000000e+07 8.995549801448311e+08 1.151567901687984e+09 1.396703518300819e-01 4.504500992196291e-01 3.822610910070931e-01 2.761845794319590e-02 
4.100000000000000e+07 8.934676505746102e+08 1.140744091763661e+09 1.400677276775706e-01 4.505311421140359e-01 3.817972354049313e-01 2.760389480346214e-02 
4.140000000000000e+07 8.876456025345570e+08 1.130736372870634e+09 1.404297696440384e-01 4.506068868870667e-01 3.813728113461828e-01 2.759053212271196e-02 
4.180000000000000e+07 8.789867881379496e+08 1.116423295740654e+09 1.409387029779838e-01 4.507163415407010e-01 3.807733535533637e-01 2.757160192795129e-02 
4.220000000000000e+07 8.736955521191130e+08 1.108047077550464e+09 1.412308481228957e-01 4.507809875226513e-01 3.804275166611436e-01 2.756064769330930e-02 
4.260000000000000e+07 8.653639841271774e+08 1.095290677243258e+09 1.416681174862022e-01 4.508798965042739e-01 3.799078367365959e-01 2.754414927292806e-02 
4.300000000000000e+07 8.581159904387172e+08 1.084595137733471e+09 1.420274031073701e-01 4.509631016812019e-01 3.794789935918634e-01 2.753050161956469e-02 
4.340000000000000e+07 8.512407267248020e+08 1.074698383899628e+09 1.423543477652137e-01 4.510401432234455e-01 3.790874886734028e-01 2.751802033793801e-02 
4.380000000000000e+07 8.431997873788378e+08 1.063619007670968e+09 1.427115564876680e-01 4.511264140074703e-01 3.786577427510703e-01 2.750428675379142e-02 
4.420000000000000e+07 8.361790346641439e+08 1.054199078373705e+09 1.430098894378867e-01 4.511996444863373e-01 3.782977033400322e-01 2.749276273574385e-02 
4.460000000000000e+07 8.307555160399486e+08 1.047091421410275e+09 1.432308310795787e-01 4.512546726401966e-01 3.780303041780644e-01 2.748419210216019e-02 
4.500000000000000e+07 8.254573118527110e+08 1.040245669985483e+09 1.434410140166051e-01 4.513075401467391e-01 3.777754304756757e-01 2.747601536098005e-02 
4.540000000000000e+07 8.166708474563107e+08 1.029230421099883e+09 1.437721925273996e-01 4.513921791563134e-01 3.773725568103325e-01 2.746307150595438e-02 
4.580000000000000e+07 8.084719100138206e+08 1.019292525455119e+09 1.440629982115507e-01 4.514678711427992e-01 3.770174858711216e-01 2.745164477452843e-02 
4.620000000000000e+07 8.022327740374767e+08 1.011846985534492e+09 1.442772925245095e-01 4.515242377599723e-01 3.767552712138952e-01 2.744319850162305e-02 
4.660000000000000e+07 7.959683416167053e+08 1.004524009552471e+09 1.444842637982016e-01 4.515792850870717e-01 3.765014367774862e-01 2.743501433724047e-02 
4.700000000000000e+07 7.891990604044275e+08 9.967225896265235e+08 1.447011709057091e-01 4.516375037044365e-01 3.762349111190714e-01 2.742641427078297e-02 
4.740000000000000e+07 7.836252221518435e+08 9.904655931181341e+08 1.448713513674154e-01 4.516837590420928e-01 3.760252474883339e-01 2.741964210215777e-02 
4.780000000000000e+07 7.755507906002634e+08 9.814937415037141e+08 1.451116692400364e-01 4.517495611000193e-01 3.757287115720823e-01 2.741005808786190e-02 
4.820000000000000e+07 7.699239434954892e+08 9.753829140510312e+08 1.452716776335898e-01 4.517938584682903e-01 3.755308078418306e-01 2.740365605628924e-02 
4.860000000000000e+07 7.619657297510787e+08 9.668199766985466e+08 1.454926935710244e-01 4.518554422357407e-01 3.752570682599937e-01 2.739479593324114e-02 
4.900000000000000e+07 7.552011880602003e+08 9.596781431181188e+08 1.456729721037978e-01 4.519061605222440e-01 3.750333193752032e-01 2.738754799875494e-02 
4.940000000000000e+07 7.484929525961046e+08 9.527213393109936e+08 1.458449305544901e-01 4.519549464753126e-01 3.748195060284338e-01 2.738061694176343e-02 
4.980000000000000e+07 7.400056214959791e+08 9.440205958909593e+08 1.460560290673548e-01 4.520152535094331e-01 3.745566272012628e-01 2.737209022194929e-02 
5.020000000000000e+07 7.350457023961104e+08 9.389995428812715e+08 1.461757844756595e-01 4.520496767413917e-01 3.744072949325342e-01 2.736724385041460e-02 
5.060000000000000e+07 7.283428450137179e+08 9.322307868167200e+08 1.463355481809078e-01 4.520957703665864e-01 3.742079104778722e-01 2.736077097463357e-02 
5.100000000000000e+07 7.190448622076831e+08 9.230387151929033e+08 1.465464420494104e-01 4.521571853652883e-01 3.739441707441143e-01 2.735220184118687e-02 
5.140000000000000e+07 7.157502834637976e+08 9.198242404501024e+08 1.466188556112573e-01 4.521783911068615e-01 3.738534989528972e-01 2.734925432898403e-02 
5.180000000000000e+07 7.084404345470476e+08 9.126847391865387e+08 1.467783720035698e-01 4.522252181873862e-01 3.736536534300112e-01 2.734275637903276e-02 
5.220000000000000e+07 7.018535578992174e+08 9.063340946675515e+08 1.469174601249680e-01 4.522662811747185e-01 3.734791783939122e-01 2.733708030640127e-02 
5.260000000000000e+07 6.945195671515400e+08 8.993561004173511e+08 1.470670662534159e-01 4.523107055628763e-01 3.732912645244413e-01 2.733096365926648e-02 
5.300000000000000e+07 6.890924004632207e+08 8.942217254518263e+08 1.471755829009625e-01 4.523430461375882e-01 3.731548492813475e-01 2.732652168010178e-02 
5.340000000000000e+07 6.822522849570985e+08 8.877526708698254e+08 1.473107972597722e-01 4.523834554262152e-01 3.729847655054321e-01 2.732098180858055e-02 
5.380000000000000e+07 6.770050747955668e+08 8.828687502833636e+08 1.474106848517703e-01 4.524134616912461e-01 3.728589711676178e-01 2.731688228936584e-02 
5.420000000000000e+07 6.716277578417881e+08 8.778578795848804e+08 1.475122577609046e-01 4.524440372257262e-01 3.727309943095436e-01 2.731271070382572e-02 
5.460000000000000e+07 6.628988384884059e+08 8.697902262645988e+08 1.476729163260517e-01 4.524925847089399e-01 3.725283951800625e-01 2.730610378494579e-02 
5.500000000000000e+07 6.565060435898094e+08 8.639296897027400e+08 1.477873752277078e-01 4.525273135614012e-01 3.723839211460355e-01 2.730139006485553e-02 
5.540000000000000e+07 6.520124436440762e+08 8.598691933272703e+08 1.478652105194797e-01 4.525510150943801e-01 3.722855939338618e-01 2.729818045227843e-02 
5.580000000000000e+07 6.438100702786655e+08 8.523781934751492e+08 1.480079389588266e-01 4.525945260978430e-01 3.721052424422135e-01 2.729229250111697e-02 
5.620000000000000e+07 6.376472536924078e+08 8.468275490342618e+08 1.481112465332907e-01 4.526261521523771e-01 3.719745772386666e-01 2.728802407566577e-02 
5.660000000000000e+07 6.312409517622061e+08 8.410469935966985e+08 1.482177962491676e-01 4.526588227799109e-01 3.718397620398068e-01 2.728361893111463e-02 
5.700000000000000e+07 6.251740828600373e+08 8.356343426536584e+08 1.483156371432721e-01 4.526889159461490e-01 3.717158780934739e-01 2.727956881710500e-02 
5.740000000000000e+07 6.191873041695553e+08 8.302749814389923e+08 1.484115850882715e-01 4.527184689092740e-01 3.715943513224821e-01 2.727559467997227e-02 
5.780000000000000e+07 6.104009500075315e+08 8.224719458313751e+08 1.485487091158801e-01 4.527608125391464e-01 3.714205696979620e-01 2.726990864701153e-02 
5.820000000000000e+07 6.064908601766317e+08 8.189788307781076e+08 1.486095456369229e-01 4.527796206595204e-01 3.713434490845543e-01 2.726738461900240e-02 
5.860000000000000e+07 5.992453552038480e+08 8.125874894483016e+08 1.487187743315242e-01 4.528134671524219e-01 3.712049107193127e-01 2.726284779674139e-02 
5.900000000000000e+07 5.943187277945960e+08 8.082191714093215e+08 1.487928414221608e-01 4.528364374526770e-01 3.711109511069360e-01 2.725977001822609e-02 
5.940000000000000e+07 5.898363293945632e+08 8.042780771924425e+08 1.488586466923789e-01 4.528568781494581e-01 3.710274420247781e-01 2.725703313338495e-02 
5.980000000000000e+07 5.822879497326272e+08 7.976293860029783e+08 1.489684946069423e-01 4.528910318515718e-01 3.708880117602648e-01 2.725246178122108e-02 
6.020000000000000e+07 5.740116902907630e+08 7.903881449860135e+08 1.490859225085177e-01 4.529275957590492e-01 3.707389118163461e-01 2.724756991608703e-02 
6.060000000000000e+07 5.703987892451334e+08 7.871983984838328e+08 1.491373084719638e-01 4.529436031720048e-01 3.706736598820912e-01 2.724542847394034e-02 
6.100000000000000e+07 5.651443395856876e+08 7.826071427698584e+08 1.492101820027875e-01 4.529663246394688e-01 3.705811042569273e-01 2.724238910081647e-02 
6.140000000000000e+07 5.554985899279126e+08 7.741664240578697e+08 1.493424500413965e-01 4.530075886652905e-01 3.704130926168687e-01 2.723686867644422e-02 
6.180000000000000e+07 5.528384855921423e+08 7.718355904648054e+08 1.493785862536176e-01 4.530188663402511e-01 3.703671878014748e-01 2.723535960465649e-02 
6.220000000000000e+07 5.470590295739343e+08 7.667861723678277e+08 1.494560724033168e-01 4.530430550504797e-01 3.702687505998566e-01 2.723212194634683e-02 
6.260000000000000e+07 5.402693306792761e+08 7.608625180490899e+08 1.495457684421300e-01 4.530710598845675e-01 3.701548002633747e-01 2.722837140992795e-02 
6.300000000000000e+07 5.334068409500731e+08 7.548766440758721e+08 1.496353640050997e-01 4.530990314330450e-01 3.700409818066476e-01 2.722462275520776e-02 
6.340000000000000e+07 5.299464485318174e+08 7.518457228821428e+08 1.496803808293179e-01 4.531130837637664e-01 3.699837969302759e-01 2.722273847663988e-02 
6.380000000000000e+07 5.243188905815022e+08 7.469312138916159e+08 1.497525766980336e-01 4.531356140348591e-01 3.698920945119731e-01 2.721971475513415e-02 
6.420000000000000e+07 5.206739208204443e+08 7.437632744841284e+08 1.497986079610504e-01 4.531499722130457e-01 3.698336341041656e-01 2.721778572173847e-02 
6.460000000000000e+07 5.131790167534509e+08 7.371984066665714e+08 1.498934252133014e-01 4.531795373296156e-01 3.697132265519339e-01 2.721381090514908e-02 
6.500000000000000e+07 5.076667269191065e+08 7.323795242309659e+08 1.499621889274486e-01 4.532009606089927e-01 3.696259240994960e-01 2.721092636406273e-02 
6.540000000000000e+07 5.045491679237283e+08 7.296645837664961e+08 1.500005724689618e-01 4.532129088723612e-01 3.695772032718978e-01 2.720931538677916e-02 
6.580000000000000e+07 4.967612560014737e+08 7.228302550771694e+08 1.500964359998765e-01 4.532427258023609e-01 3.694555480329609e-01 2.720529016480166e-02 
6.620000000000000e+07 4.913667630428522e+08 7.181016153592482e+08 1.501620612712867e-01 4.532631105249612e-01 3.693722952690337e-01 2.720253293471856e-02 
6.660000000000000e+07 4.855273739910138e+08 7.130039903763126e+08 1.502319345756270e-01 4.532847747146947e-01 3.692836956123098e-01 2.719959509736854e-02 
6.700000000000000e+07 4.822277324887113e+08 7.100741103880886e+08 1.502720629541757e-01 4.532972148951304e-01 3.692328143374985e-01 2.719790781319549e-02 
6.740000000000000e+07 4.754226856021984e+08 7.040859381469216e+08 1.503531491525124e-01 4.533223013617353e-01 3.691300534341159e-01 2.719449605163641e-02 
6.780000000000000e+07 4.701883960495126e+08 6.994683609655199e+08 1.504150292606120e-01 4.533414042236387e-01 3.690516757943358e-01 2.719189072141355e-02 
6.820000000000000e+07 4.649932212240191e+08 6.948821279583304e+08 1.504760882272155e-01 4.533602238935809e-01 3.689743689972759e-01 2.718931888192773e-02 
6.860000000000000e+07 4.598381567764122e+08 6.903232460966296e+08 1.505363260381917e-01 4.533787539271049e-01 3.688981396419879e-01 2.718678039271547e-02 
6.900000000000000e+07 4.547239236861942e+08 6.857889572503319e+08 1.505957467064343e-01 4.533969897279259e-01 3.688229886028522e-01 2.718427496278759e-02 
6.940000000000000e+07 4.496502486231923e+08 6.812800429423244e+08 1.506543900905708e-01 4.534149432058128e-01 3.687488656971268e-01 2.718180100648948e-02 
6.980000000000000e+07 4.446163748754311e+08 6.767994402950604e+08 1.507123009667298e-01 4.534326326579519e-01 3.686757095200776e-01 2.717935685524075e-02 
7.020000000000000e+07 4.396226303379791e+08 6.723457702947543e+08 1.507694960943447e-01 4.534500598308821e-01 3.686035023007420e-01 2.717694177403129e-02 
7.060000000000000e+07 4.346694447860646e+08 6.679163092750626e+08 1.508259869885363e-01 4.534672223413262e-01 3.685322355046709e-01 2.717455516546647e-02 
7.100000000000000e+07 4.297575368689406e+08 6.635064807137389e+08 1.508817998791152e-01 4.534841179980298e-01 3.684618863793773e-01 2.717219574347772e-02 
